latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-7.7451,-34.9394,306.2,1.1,1.1,2000-11-01,0058,Terra,MODIS,67,6.2,293.3,7.6,N,0
-6.8628,-38.082,307.3,1.8,1.3,2000-11-01,0059,Terra,MODIS,71,6.2,294.9,10.8,N,0
-6.2455,-35.1822,302.4,1.1,1.1,2000-11-01,0059,Terra,MODIS,26,6.2,289.8,5.9,N,0
-6.2346,-35.1735,305.2,1.1,1.1,2000-11-01,0059,Terra,MODIS,49,6.2,289.8,7.6,N,0
-6.236,-35.1835,310.9,1.1,1.1,2000-11-01,0059,Terra,MODIS,81,6.2,290.8,12,N,0
-5.0263,-37.0489,301.8,1.4,1.2,2000-11-01,0059,Terra,MODIS,44,6.2,287.5,6.5,N,2
-24.5264,-49.3854,301.6,1.4,1.2,2000-11-01,0232,Terra,MODIS,42,6.2,285.5,11.3,N,0
-22.6484,-48.134,333.4,1.9,1.3,2000-11-01,0233,Terra,MODIS,100,6.2,290.9,87.4,N,0
-22.3317,-48.5577,302.3,1.8,1.3,2000-11-01,0233,Terra,MODIS,48,6.2,291.7,11.6,N,0
-22.8573,-51.8229,355.2,1.1,1.1,2000-11-01,0233,Terra,MODIS,100,6.2,294.5,87.4,N,0
-22.859,-51.8336,364.7,1.1,1.1,2000-11-01,0233,Terra,MODIS,100,6.2,295.4,117.8,N,0
-22.8197,-52.1122,378.5,1.1,1,2000-11-01,0233,Terra,MODIS,100,6.2,298.4,167.8,N,0
-22.8213,-52.1228,336.5,1.1,1,2000-11-01,0233,Terra,MODIS,100,6.2,294,42.5,N,0
-22.8103,-52.1138,399.2,1.1,1,2000-11-01,0233,Terra,MODIS,100,6.2,299.4,283.4,N,0
-22.8119,-52.1244,332.8,1.1,1,2000-11-01,0233,Terra,MODIS,100,6.2,294.7,36.4,N,0
-21.8566,-47.1485,300.8,2.3,1.5,2000-11-01,0233,Terra,MODIS,34,6.2,267.7,23.1,N,0
-21.8607,-47.1706,325.3,2.3,1.5,2000-11-01,0233,Terra,MODIS,100,6.2,269.5,89.1,N,0
-22.4364,-50.9815,316.9,1.2,1.1,2000-11-01,0233,Terra,MODIS,94,6.2,292.7,20.2,N,0
-22.4265,-50.9833,305.4,1.2,1.1,2000-11-01,0233,Terra,MODIS,64,6.2,292,8.7,N,0
-22.2556,-50.4427,325.1,1.3,1.2,2000-11-01,0233,Terra,MODIS,100,6.2,292.4,36.4,N,0
-22.2578,-50.4558,320.7,1.3,1.1,2000-11-01,0233,Terra,MODIS,100,6.2,292.3,29,N,0
-21.568,-52.6723,310,1.1,1,2000-11-01,0233,Terra,MODIS,79,6.2,292.7,9.8,N,0
-21.5796,-54.1103,313.4,1,1,2000-11-01,0233,Terra,MODIS,87,6.2,293.4,11.4,N,0
-20.8703,-52.9293,308.1,1.1,1,2000-11-01,0234,Terra,MODIS,73,6.2,281.9,9.9,N,0
-20.8719,-52.9395,317,1.1,1,2000-11-01,0234,Terra,MODIS,94,6.2,285.6,17.3,N,0
-21.1506,-55.6468,309.3,1,1,2000-11-01,0234,Terra,MODIS,77,6.2,294.4,7.3,N,0
-21.1519,-55.6567,317.7,1,1,2000-11-01,0234,Terra,MODIS,96,6.2,294.5,14.4,N,0
-21.092,-55.896,304.5,1,1,2000-11-01,0234,Terra,MODIS,60,6.2,294.5,4.7,N,0
-21.0934,-55.906,313,1,1,2000-11-01,0234,Terra,MODIS,86,6.2,294.9,10.9,N,0
-21.0319,-55.577,304.4,1,1,2000-11-01,0234,Terra,MODIS,60,6.2,293.7,5.1,N,0
-20.785,-54.9891,303.2,1,1,2000-11-01,0234,Terra,MODIS,54,6.2,292.7,4.2,N,0
-20.2884,-55.8527,305.1,1,1,2000-11-01,0234,Terra,MODIS,63,6.2,294.3,4.8,N,0
-20.0958,-54.9247,309.5,1,1,2000-11-01,0234,Terra,MODIS,77,6.2,292.6,8.5,N,0
-20.0868,-54.9261,323.1,1,1,2000-11-01,0234,Terra,MODIS,100,6.2,292.9,20.1,N,0
-18.7463,-55.0684,323.3,1,1,2000-11-01,0234,Terra,MODIS,100,6.2,285.7,21.4,N,0
-16.6069,-58.2337,302,1.2,1.1,2000-11-01,0235,Terra,MODIS,46,6.2,289.3,4.9,N,0
-16.1661,-59.6653,301.9,1.4,1.2,2000-11-01,0235,Terra,MODIS,45,6.2,284.1,7.1,N,0
-16.1706,-59.6575,304.8,1.4,1.2,2000-11-01,0235,Terra,MODIS,62,6.2,284,9.9,N,0
